Tag	dynamicColors	mergedColors
A2M	tan	tan
A4GALT	grey	grey
AAAS	yellow	yellow
AACS	turquoise	turquoise
AADAC	grey	grey
AADAT	grey	grey
AAGAB	turquoise	turquoise
AAK1	blue	blue
AAMDC	grey	grey
AAMP	black	black
AAR2	grey	grey
AARD	turquoise	turquoise
AARS	grey	grey
AARS2	red	lightcyan
AARSD1	yellow	yellow
AASDH	turquoise	turquoise
AASDHPPT	blue	blue
AASS	blue	blue
AATF	red	lightcyan
AATK	turquoise	turquoise
ABAT	grey	grey
ABCA1	brown	brown
ABCA12	grey	grey
ABCA13	magenta	magenta
ABCA2	red	lightcyan
ABCA3	turquoise	turquoise
ABCA4	grey	grey
ABCA5	green	green
ABCA6	tan	tan
ABCA7	yellow	yellow
ABCA8	tan	tan
ABCA9	tan	tan
ABCB1	greenyellow	greenyellow
ABCB10	blue	blue
ABCB6	lightgreen	lightgreen
ABCB7	midnightblue	midnightblue
ABCB8	cyan	black
ABCB9	grey	grey
ABCC1	lightgreen	lightgreen
ABCC10	red	lightcyan
ABCC3	turquoise	turquoise
ABCC4	grey	grey
ABCC5	magenta	magenta
ABCC6	turquoise	turquoise
ABCC9	tan	tan
ABCD1	red	lightcyan
ABCD2	greenyellow	greenyellow
ABCD3	grey	grey
ABCD4	yellow	yellow
ABCE1	turquoise	turquoise
ABCF1	red	lightcyan
ABCF2	turquoise	turquoise
ABCF3	turquoise	turquoise
ABCG1	brown	brown
ABCG2	tan	tan
ABHD10	turquoise	turquoise
ABHD11	cyan	black
ABHD12	black	black
ABHD13	midnightblue	midnightblue
ABHD14A	salmon	salmon
ABHD14B	salmon	salmon
ABHD15	purple	purple
ABHD16A	yellow	yellow
ABHD17A	red	lightcyan
ABHD17B	blue	blue
ABHD17C	grey	grey
ABHD18	green	green
ABHD2	blue	blue
ABHD3	turquoise	turquoise
ABHD4	lightgreen	lightgreen
ABHD5	brown	brown
ABHD6	brown	brown
ABHD8	red	lightcyan
ABI1	turquoise	turquoise
ABI2	blue	blue
ABI3	brown	brown
ABI3BP	tan	tan
ABL1	red	lightcyan
ABL2	blue	blue
ABLIM1	blue	blue
ABLIM2	grey	grey
ABLIM3	brown	brown
ABO	turquoise	turquoise
ABR	brown	brown
ABRACL	turquoise	turquoise
ABT1	purple	purple
ABTB1	turquoise	turquoise
ABTB2	grey	grey
ACAA1	turquoise	turquoise
ACAA2	grey	grey
ACACA	blue	blue
ACACB	green	green
ACAD10	yellow	yellow
ACAD8	turquoise	turquoise
ACAD9	turquoise	turquoise
ACADL	turquoise	turquoise
ACADM	grey	grey
ACADS	blue	blue
ACADSB	turquoise	turquoise
ACADVL	yellow	yellow
ACAN	pink	pink
ACAP1	greenyellow	greenyellow
ACAP2	salmon	salmon
ACAP3	yellow	yellow
ACAT1	grey	grey
ACAT2	turquoise	turquoise
ACBD3	blue	blue
ACBD4	yellow	yellow
ACBD5	turquoise	turquoise
ACBD6	brown	brown
ACBD7	turquoise	turquoise
ACCS	yellow	yellow
ACD	red	lightcyan
ACE	tan	tan
ACE2	turquoise	turquoise
ACER2	blue	blue
ACER3	brown	brown
ACHE	grey	grey
ACIN1	yellow	yellow
ACKR1	tan	tan
ACKR2	grey	grey
ACKR3	pink	pink
ACKR4	brown	brown
ACLY	turquoise	turquoise
ACO1	grey	grey
ACO2	grey	grey
ACOT1	grey	grey
ACOT11	grey	grey
ACOT13	lightgreen	lightgreen
ACOT2	grey	grey
ACOT4	grey	grey
ACOT7	turquoise	turquoise
ACOT8	black	black
ACOT9	grey	grey
ACOX1	grey	grey
ACOX2	turquoise	turquoise
ACOX3	grey	grey
ACOXL	turquoise	turquoise
ACP1	turquoise	turquoise
ACP2	brown	brown
ACP5	brown	brown
ACP6	yellow	yellow
ACPP	grey	grey
ACRBP	brown	brown
ACSF2	yellow	yellow
ACSF3	yellow	yellow
ACSL1	brown	brown
ACSL3	blue	blue
ACSL4	brown	brown
ACSL5	turquoise	turquoise
ACSM1	turquoise	turquoise
ACSM3	turquoise	turquoise
ACSS1	turquoise	turquoise
ACSS2	turquoise	turquoise
ACSS3	grey	grey
ACTA2	pink	pink
ACTB	brown	brown
ACTG1	turquoise	turquoise
ACTG2	pink	pink
ACTL10	yellow	yellow
ACTL6A	turquoise	turquoise
ACTN1	pink	pink
ACTN4	lightcyan	lightcyan
ACTR10	grey	grey
ACTR1A	green	green
ACTR1B	black	black
ACTR2	salmon	salmon
ACTR3	salmon	salmon
ACTR3B	turquoise	turquoise
ACTR3C	black	black
ACTR5	yellow	yellow
ACTR6	turquoise	turquoise
ACTR8	blue	blue
ACTRT3	grey	grey
ACVR1	grey	grey
ACVR1B	grey	grey
ACVR2A	blue	blue
ACVR2B	blue	blue
ACVRL1	tan	tan
ACY1	lightyellow	lightyellow
ACY3	grey	grey
ACYP1	yellow	yellow
ACYP2	turquoise	turquoise
ADA	turquoise	turquoise
ADAL	grey	grey
ADAM10	blue	blue
ADAM12	pink	pink
ADAM15	cyan	black
ADAM17	salmon	salmon
ADAM19	greenyellow	greenyellow
ADAM22	blue	blue
ADAM23	grey	grey
ADAM28	greenyellow	greenyellow
ADAM33	tan	tan
ADAM8	brown	brown
ADAM9	grey	grey
ADAMDEC1	greenyellow	greenyellow
ADAMTS1	tan	tan
ADAMTS10	yellow	yellow
ADAMTS12	pink	pink
ADAMTS13	yellow	yellow
ADAMTS14	pink	pink
ADAMTS15	tan	tan
ADAMTS16	pink	pink
ADAMTS17	grey	grey
ADAMTS2	pink	pink
ADAMTS3	grey	grey
ADAMTS4	pink	pink
ADAMTS5	pink	pink
ADAMTS7	pink	pink
ADAMTS8	tan	tan
ADAMTS9	pink	pink
ADAMTSL2	tan	tan
ADAMTSL3	tan	tan
ADAMTSL4	brown	brown
ADAMTSL5	grey	grey
ADAP1	midnightblue	midnightblue
ADAP2	brown	brown
ADAR	blue	blue
ADARB1	tan	tan
ADAT1	blue	blue
ADAT2	green	green
ADAT3	red	lightcyan
ADCK1	yellow	yellow
ADCK2	black	black
ADCK5	lightyellow	lightyellow
ADCY1	grey	grey
ADCY3	turquoise	turquoise
ADCY4	tan	tan
ADCY5	grey	grey
ADCY6	green	green
ADCY7	brown	brown
ADCY9	turquoise	turquoise
ADD1	purple	purple
ADD3	brown	brown
ADGRA2	pink	pink
ADGRA3	blue	blue
ADGRB1	lightyellow	lightyellow
ADGRB2	turquoise	turquoise
ADGRD1	turquoise	turquoise
ADGRE1	brown	brown
ADGRE2	brown	brown
ADGRE3	brown	brown
ADGRE5	brown	brown
ADGRF1	grey	grey
ADGRF4	turquoise	turquoise
ADGRF5	turquoise	turquoise
ADGRG1	grey	grey
ADGRG2	midnightblue	midnightblue
ADGRG3	grey	grey
ADGRG5	greenyellow	greenyellow
ADGRG6	grey	grey
ADGRL1	red	lightcyan
ADGRL2	tan	tan
ADGRL4	tan	tan
ADGRV1	green	green
ADH1B	tan	tan
ADH1C	magenta	magenta
ADH5	red	lightcyan
ADHFE1	yellow	yellow
ADI1	grey	grey
ADIPOR1	turquoise	turquoise
ADIPOR2	turquoise	turquoise
ADK	grey	grey
ADM	turquoise	turquoise
ADM2	grey	grey
ADM5	yellow	yellow
ADNP	blue	blue
ADNP2	blue	blue
ADO	blue	blue
ADORA1	grey	grey
ADORA2B	grey	grey
ADORA3	brown	brown
ADPGK	brown	brown
ADPRH	brown	brown
ADPRHL1	brown	brown
ADPRHL2	black	black
ADPRM	purple	purple
ADRA1B	grey	grey
ADRA2A	turquoise	turquoise
ADRA2C	grey	grey
ADRB1	turquoise	turquoise
ADRB2	brown	brown
ADRM1	cyan	black
ADSL	purple	purple
ADSS	blue	blue
ADSSL1	brown	brown
ADTRP	brown	brown
AEBP1	pink	pink
AEBP2	turquoise	turquoise
AEN	grey	grey
AFAP1	pink	pink
AFAP1L1	tan	tan
AFAP1L2	brown	brown
AFF1	blue	blue
AFF3	turquoise	turquoise
AFF4	midnightblue	midnightblue
AFG3L2	turquoise	turquoise
AFMID	brown	brown
AFTPH	blue	blue
AGA	grey	grey
AGAP1	blue	blue
AGAP2	greenyellow	greenyellow
AGAP3	red	lightcyan
AGAP4	yellow	yellow
AGAP9	yellow	yellow
AGBL2	magenta	magenta
AGBL5	turquoise	turquoise
AGER	tan	tan
AGFG1	salmon	salmon
AGFG2	yellow	yellow
AGGF1	midnightblue	midnightblue
AGK	green	green
AGL	blue	blue
AGMAT	turquoise	turquoise
AGO1	blue	blue
AGO2	blue	blue
AGO3	green	green
AGO4	green	green
AGPAT1	red	lightcyan
AGPAT2	cyan	black
AGPAT3	purple	purple
AGPAT4	brown	brown
AGPAT5	turquoise	turquoise
AGPS	salmon	salmon
AGR2	grey	grey
AGR3	turquoise	turquoise
AGRN	red	lightcyan
AGRP	brown	brown
AGT	grey	grey
AGTPBP1	blue	blue
AGTR1	grey	grey
AGTR2	turquoise	turquoise
AGTRAP	blue	blue
AHCTF1	blue	blue
AHCY	purple	purple
AHCYL1	grey	grey
AHCYL2	turquoise	turquoise
AHDC1	red	lightcyan
AHI1	green	green
AHNAK	purple	purple
AHNAK2	grey	grey
AHR	brown	brown
AHRR	grey	grey
AHSA1	black	black
AIDA	midnightblue	midnightblue
AIF1	brown	brown
AIF1L	grey	grey
AIFM1	brown	brown
AIFM2	lightgreen	lightgreen
AIFM3	yellow	yellow
AIG1	grey	grey
AIM2	greenyellow	greenyellow
AIMP1	grey	grey
AIMP2	turquoise	turquoise
AIP	black	black
AJUBA	grey	grey
AK1	turquoise	turquoise
AK2	purple	purple
AK3	grey	grey
AK4	turquoise	turquoise
AK7	magenta	magenta
AK8	magenta	magenta
AK9	magenta	magenta
AKAP1	grey	grey
AKAP10	blue	blue
AKAP11	blue	blue
AKAP12	grey	grey
AKAP13	purple	purple
AKAP14	magenta	magenta
AKAP17A	yellow	yellow
AKAP3	magenta	magenta
AKAP5	greenyellow	greenyellow
AKAP6	blue	blue
AKAP7	brown	brown
AKAP8	red	lightcyan
AKAP8L	red	lightcyan
AKAP9	blue	blue
AKIP1	blue	blue
AKIRIN1	salmon	salmon
AKIRIN2	turquoise	turquoise
AKNA	greenyellow	greenyellow
AKR1A1	blue	blue
AKR1B1	brown	brown
AKR1B10	lightgreen	lightgreen
AKR1B15	lightgreen	lightgreen
AKR1C1	lightgreen	lightgreen
AKR1C2	lightgreen	lightgreen
AKR1C3	lightgreen	lightgreen
AKR1E2	lightgreen	lightgreen
AKR7A2	black	black
AKR7A3	grey	grey
AKT1	red	lightcyan
AKT1S1	lightcyan	lightcyan
AKT2	lightcyan	lightcyan
AKT3	pink	pink
AKTIP	turquoise	turquoise
ALAD	turquoise	turquoise
ALAS1	grey	grey
ALCAM	grey	grey
ALDH16A1	lightcyan	lightcyan
ALDH18A1	brown	brown
ALDH1A1	magenta	magenta
ALDH1A2	grey	grey
ALDH1A3	pink	pink
ALDH1B1	turquoise	turquoise
ALDH1L1	magenta	magenta
ALDH1L2	pink	pink
ALDH2	turquoise	turquoise
ALDH3A1	lightgreen	lightgreen
ALDH3A2	lightgreen	lightgreen
ALDH3B1	turquoise	turquoise
ALDH3B2	grey	grey
ALDH4A1	cyan	black
ALDH5A1	turquoise	turquoise
ALDH6A1	blue	blue
ALDH7A1	grey	grey
ALDH9A1	turquoise	turquoise
ALDOA	turquoise	turquoise
ALDOB	turquoise	turquoise
ALDOC	grey	grey
ALG1	cyan	black
ALG10	salmon	salmon
ALG10B	blue	blue
ALG11	blue	blue
ALG12	yellow	yellow
ALG13	green	green
ALG14	purple	purple
ALG1L	grey	grey
ALG1L2	yellow	yellow
ALG2	grey	grey
ALG3	turquoise	turquoise
ALG5	purple	purple
ALG6	green	green
ALG8	turquoise	turquoise
ALG9	blue	blue
ALKBH1	grey	grey
ALKBH2	purple	purple
ALKBH3	grey	grey
ALKBH4	cyan	black
ALKBH5	grey	grey
ALKBH6	yellow	yellow
ALKBH7	black	black
ALKBH8	blue	blue
ALMS1	blue	blue
ALOX12	green	green
ALOX15	magenta	magenta
ALOX15B	turquoise	turquoise
ALOX5	brown	brown
ALOX5AP	brown	brown
ALPK1	green	green
ALPK3	grey	grey
ALPL	turquoise	turquoise
ALPP	grey	grey
ALS2	blue	blue
ALS2CL	yellow	yellow
ALYREF	turquoise	turquoise
AMACR	grey	grey
AMBP	lightgreen	lightgreen
AMBRA1	blue	blue
AMD1	salmon	salmon
AMDHD1	grey	grey
AMDHD2	cyan	black
AMER1	blue	blue
AMFR	grey	grey
AMH	yellow	yellow
AMIGO1	turquoise	turquoise
AMIGO2	grey	grey
AMMECR1	blue	blue
AMMECR1L	blue	blue
AMN	grey	grey
AMN1	turquoise	turquoise
AMOT	grey	grey
AMOTL1	tan	tan
AMOTL2	grey	grey
AMPD1	greenyellow	greenyellow
AMPD2	red	lightcyan
AMPD3	brown	brown
AMPH	grey	grey
AMT	yellow	yellow
AMY2B	green	green
AMZ2	black	black
ANAPC1	blue	blue
ANAPC10	turquoise	turquoise
ANAPC11	black	black
ANAPC13	grey	grey
ANAPC15	purple	purple
ANAPC16	turquoise	turquoise
ANAPC2	yellow	yellow
ANAPC4	green	green
ANAPC5	turquoise	turquoise
ANAPC7	turquoise	turquoise
ANG	turquoise	turquoise
ANGEL1	blue	blue
ANGEL2	green	green
ANGPT1	tan	tan
ANGPT2	pink	pink
ANGPTL1	tan	tan
ANGPTL2	pink	pink
ANGPTL4	grey	grey
ANK2	greenyellow	greenyellow
ANK3	blue	blue
ANKDD1A	green	green
ANKDD1B	turquoise	turquoise
ANKEF1	blue	blue
ANKFN1	magenta	magenta
ANKFY1	blue	blue
ANKH	pink	pink
ANKHD1	green	green
ANKHD1-EIF4EBP3	green	green
ANKIB1	salmon	salmon
ANKK1	magenta	magenta
ANKLE1	turquoise	turquoise
ANKLE2	turquoise	turquoise
ANKMY1	green	green
ANKMY2	turquoise	turquoise
ANKRA2	midnightblue	midnightblue
ANKRD1	tan	tan
ANKRD10	green	green
ANKRD11	blue	blue
ANKRD12	blue	blue
ANKRD13A	brown	brown
ANKRD13B	lightcyan	lightcyan
ANKRD13C	blue	blue
ANKRD13D	yellow	yellow
ANKRD16	turquoise	turquoise
ANKRD17	blue	blue
ANKRD18A	green	green
ANKRD22	brown	brown
ANKRD23	yellow	yellow
ANKRD24	yellow	yellow
ANKRD26	green	green
ANKRD27	turquoise	turquoise
ANKRD28	blue	blue
ANKRD29	turquoise	turquoise
ANKRD33B	greenyellow	greenyellow
ANKRD34A	grey	grey
ANKRD35	magenta	magenta
ANKRD36	green	green
ANKRD37	magenta	magenta
ANKRD39	black	black
ANKRD40	blue	blue
ANKRD42	magenta	magenta
ANKRD44	greenyellow	greenyellow
ANKRD45	magenta	magenta
ANKRD46	grey	grey
ANKRD49	green	green
ANKRD50	blue	blue
ANKRD52	blue	blue
ANKRD53	magenta	magenta
ANKRD54	yellow	yellow
ANKRD6	green	green
ANKRD61	green	green
ANKRD65	turquoise	turquoise
ANKRD9	grey	grey
ANKS1A	blue	blue
ANKS3	yellow	yellow
ANKS6	green	green
ANKZF1	yellow	yellow
ANLN	turquoise	turquoise
ANO1	pink	pink
ANO10	grey	grey
ANO5	grey	grey
ANO6	salmon	salmon
ANO7	grey	grey
ANO8	red	lightcyan
ANO9	yellow	yellow
ANOS1	brown	brown
ANP32A	turquoise	turquoise
ANP32B	turquoise	turquoise
ANP32E	turquoise	turquoise
ANPEP	brown	brown
ANTXR1	pink	pink
ANTXR2	brown	brown
ANXA1	brown	brown
ANXA11	turquoise	turquoise
ANXA2	blue	blue
ANXA2R	greenyellow	greenyellow
ANXA3	grey	grey
ANXA4	grey	grey
ANXA5	brown	brown
ANXA6	brown	brown
ANXA7	turquoise	turquoise
ANXA9	grey	grey
AOAH	brown	brown
AOC1	grey	grey
AOC2	yellow	yellow
AOC3	tan	tan
AOX1	grey	grey
AP1AR	salmon	salmon
AP1B1	red	lightcyan
AP1G1	blue	blue
AP1G2	yellow	yellow
AP1M1	red	lightcyan
AP1M2	black	black
AP1S1	black	black
AP1S2	brown	brown
AP1S3	salmon	salmon
AP2A1	lightcyan	lightcyan
AP2A2	grey	grey
AP2B1	turquoise	turquoise
AP2M1	turquoise	turquoise
AP2S1	black	black
AP3B1	midnightblue	midnightblue
AP3D1	red	lightcyan
AP3M1	blue	blue
AP3M2	blue	blue
AP3S1	midnightblue	midnightblue
AP3S2	turquoise	turquoise
AP4B1	green	green
AP4E1	blue	blue
AP4M1	cyan	black
AP4S1	grey	grey
AP5B1	red	lightcyan
AP5M1	blue	blue
AP5S1	grey	grey
AP5Z1	turquoise	turquoise
APAF1	blue	blue
APBA1	blue	blue
APBA2	grey	grey
APBA3	red	lightcyan
APBB1	tan	tan
APBB1IP	brown	brown
APBB2	pink	pink
APBB3	yellow	yellow
APC	midnightblue	midnightblue
APCDD1	grey	grey
APCDD1L	pink	pink
APEH	blue	blue
APEX1	purple	purple
APEX2	black	black
APH1A	black	black
APH1B	brown	brown
API5	blue	blue
APIP	grey	grey
APLN	tan	tan
APLNR	tan	tan
APLP1	grey	grey
APLP2	turquoise	turquoise
APMAP	grey	grey
APOBEC2	grey	grey
APOBEC3A	brown	brown
APOBEC3B	turquoise	turquoise
APOBEC3C	greenyellow	greenyellow
APOBEC3D	greenyellow	greenyellow
APOBEC3F	greenyellow	greenyellow
APOBEC3G	greenyellow	greenyellow
APOBEC3H	greenyellow	greenyellow
APOBR	brown	brown
APOC1	brown	brown
APOD	turquoise	turquoise
APOE	brown	brown
APOH	turquoise	turquoise
APOL1	greenyellow	greenyellow
APOL2	greenyellow	greenyellow
APOL3	greenyellow	greenyellow
APOL4	brown	brown
APOL6	greenyellow	greenyellow
APOLD1	tan	tan
APOM	grey	grey
APOO	turquoise	turquoise
APOOL	blue	blue
APP	grey	grey
APPBP2	blue	blue
APPL1	blue	blue
APPL2	blue	blue
APRT	cyan	black
APTX	turquoise	turquoise
AQP1	turquoise	turquoise
AQP11	green	green
AQP3	turquoise	turquoise
AQP4	turquoise	turquoise
AQP5	turquoise	turquoise
AQP7	turquoise	turquoise
AQP9	brown	brown
AQR	blue	blue
AR	grey	grey
ARAF	red	lightcyan
ARAP1	red	lightcyan
ARAP2	blue	blue
ARAP3	tan	tan
ARC	tan	tan
ARCN1	blue	blue
AREG	grey	grey
AREL1	blue	blue
ARF1	cyan	black
ARF3	turquoise	turquoise
ARF4	yellow	yellow
ARF5	black	black
ARF6	salmon	salmon
ARFGAP1	red	lightcyan
ARFGAP2	cyan	black
ARFGAP3	grey	grey
ARFGEF1	blue	blue
ARFGEF2	blue	blue
ARFGEF3	blue	blue
ARFIP1	red	lightcyan
ARFIP2	brown	brown
ARFRP1	red	lightcyan
ARG2	grey	grey
ARGLU1	green	green
ARHGAP1	red	lightcyan
ARHGAP10	brown	brown
ARHGAP11A	turquoise	turquoise
ARHGAP11B	turquoise	turquoise
ARHGAP12	blue	blue
ARHGAP15	greenyellow	greenyellow
ARHGAP17	brown	brown
ARHGAP18	brown	brown
ARHGAP19	blue	blue
ARHGAP20	brown	brown
ARHGAP21	blue	blue
ARHGAP22	brown	brown
ARHGAP23	pink	pink
ARHGAP24	tan	tan
ARHGAP25	greenyellow	greenyellow
ARHGAP26	black	black
ARHGAP27	red	lightcyan
ARHGAP28	pink	pink
ARHGAP29	blue	blue
ARHGAP30	brown	brown
ARHGAP31	tan	tan
ARHGAP32	purple	purple
ARHGAP33	yellow	yellow
ARHGAP35	blue	blue
ARHGAP39	lightyellow	lightyellow
ARHGAP4	yellow	yellow
ARHGAP40	yellow	yellow
ARHGAP42	blue	blue
ARHGAP44	turquoise	turquoise
ARHGAP5	blue	blue
ARHGAP6	tan	tan
ARHGAP8	green	green
ARHGAP9	greenyellow	greenyellow
ARHGDIA	red	lightcyan
ARHGDIB	brown	brown
ARHGEF1	lightcyan	lightcyan
ARHGEF10	blue	blue
ARHGEF10L	red	lightcyan
ARHGEF11	blue	blue
ARHGEF12	blue	blue
ARHGEF15	tan	tan
ARHGEF16	cyan	black
ARHGEF17	tan	tan
ARHGEF18	red	lightcyan
ARHGEF19	yellow	yellow
ARHGEF2	yellow	yellow
ARHGEF25	pink	pink
ARHGEF26	blue	blue
ARHGEF28	magenta	magenta
ARHGEF3	brown	brown
ARHGEF35	grey	grey
ARHGEF37	magenta	magenta
ARHGEF38	green	green
ARHGEF39	turquoise	turquoise
ARHGEF4	turquoise	turquoise
ARHGEF40	tan	tan
ARHGEF5	grey	grey
ARHGEF6	brown	brown
ARHGEF7	blue	blue
ARHGEF9	blue	blue
ARID1A	blue	blue
ARID1B	blue	blue
ARID2	blue	blue
ARID3A	red	lightcyan
ARID3B	blue	blue
ARID4A	green	green
ARID4B	blue	blue
ARID5A	brown	brown
ARID5B	blue	blue
ARIH1	blue	blue
ARIH2	blue	blue
ARIH2OS	yellow	yellow
ARL1	turquoise	turquoise
ARL10	blue	blue
ARL11	brown	brown
ARL13B	salmon	salmon
ARL14	grey	grey
ARL14EP	greenyellow	greenyellow
ARL15	tan	tan
ARL16	black	black
ARL2	black	black
ARL2BP	brown	brown
ARL3	purple	purple
ARL4A	turquoise	turquoise
ARL4C	pink	pink
ARL4D	grey	grey
ARL5A	salmon	salmon
ARL5B	turquoise	turquoise
ARL6	magenta	magenta
ARL6IP1	turquoise	turquoise
ARL6IP4	yellow	yellow
ARL6IP5	brown	brown
ARL6IP6	turquoise	turquoise
ARL8A	cyan	black
ARL8B	red	lightcyan
ARL9	turquoise	turquoise
ARMC1	turquoise	turquoise
ARMC10	cyan	black
ARMC12	yellow	yellow
ARMC2	magenta	magenta
ARMC3	magenta	magenta
ARMC4	magenta	magenta
ARMC5	cyan	black
ARMC6	black	black
ARMC7	grey	grey
ARMC8	salmon	salmon
ARMC9	grey	grey
ARMCX1	brown	brown
ARMCX2	grey	grey
ARMCX3	blue	blue
ARMCX4	green	green
ARMCX5	grey	grey
ARMCX6	grey	grey
ARMT1	grey	grey
ARNT	blue	blue
ARNT2	grey	grey
ARNTL	brown	brown
ARNTL2	turquoise	turquoise
ARPC1A	cyan	black
ARPC1B	cyan	black
ARPC2	brown	brown
ARPC3	purple	purple
ARPC4	purple	purple
ARPC5	red	lightcyan
ARPC5L	cyan	black
ARPIN	turquoise	turquoise
ARPP19	blue	blue
ARRB1	turquoise	turquoise
ARRB2	brown	brown
ARRDC1	yellow	yellow
ARRDC2	turquoise	turquoise
ARRDC3	midnightblue	midnightblue
ARRDC4	brown	brown
ARSA	cyan	black
ARSB	brown	brown
ARSD	turquoise	turquoise
ARSE	turquoise	turquoise
ARSG	greenyellow	greenyellow
ARSI	pink	pink
ARSJ	grey	grey
ARSK	midnightblue	midnightblue
ARTN	turquoise	turquoise
ARV1	turquoise	turquoise
ARVCF	yellow	yellow
ARX	magenta	magenta
ASAH1	turquoise	turquoise
ASAH2B	brown	brown
ASAP1	blue	blue
ASAP2	blue	blue
ASAP3	turquoise	turquoise
ASB1	blue	blue
ASB13	grey	grey
ASB16	yellow	yellow
ASB2	greenyellow	greenyellow
ASB6	cyan	black
ASB7	blue	blue
ASB8	grey	grey
ASB9	grey	grey
ASCC1	turquoise	turquoise
ASCC2	red	lightcyan
ASCC3	blue	blue
ASCL2	grey	grey
ASCL5	grey	grey
ASF1A	lightgreen	lightgreen
ASF1B	turquoise	turquoise
ASGR1	brown	brown
ASGR2	grey	grey
ASH1L	blue	blue
ASH2L	grey	grey
ASIC1	grey	grey
ASIC3	yellow	yellow
ASL	black	black
ASMTL	grey	grey
ASNS	turquoise	turquoise
ASNSD1	turquoise	turquoise
ASPDH	green	green
ASPH	grey	grey
ASPHD1	grey	grey
ASPHD2	greenyellow	greenyellow
ASPM	turquoise	turquoise
ASPN	pink	pink
ASPRV1	magenta	magenta
ASPSCR1	lightyellow	lightyellow
ASRGL1	magenta	magenta
ASS1	grey	grey
ASTE1	salmon	salmon
ASTN2	magenta	magenta
ASXL1	blue	blue
ASXL2	blue	blue
ATAD1	blue	blue
ATAD2	turquoise	turquoise
ATAD2B	blue	blue
ATAD3A	cyan	black
ATAD3B	yellow	yellow
ATAD3C	turquoise	turquoise
ATAD5	turquoise	turquoise
ATAT1	yellow	yellow
ATE1	blue	blue
ATF1	salmon	salmon
ATF2	salmon	salmon
ATF3	tan	tan
ATF4	black	black
ATF5	greenyellow	greenyellow
ATF6	blue	blue
ATF6B	red	lightcyan
ATF7	blue	blue
ATF7IP	blue	blue
ATF7IP2	green	green
ATG10	midnightblue	midnightblue
ATG101	black	black
ATG12	midnightblue	midnightblue
ATG13	grey	grey
ATG14	green	green
ATG16L1	turquoise	turquoise
ATG16L2	yellow	yellow
ATG2A	red	lightcyan
ATG2B	blue	blue
ATG3	turquoise	turquoise
ATG4A	turquoise	turquoise
ATG4B	yellow	yellow
ATG4C	brown	brown
ATG4D	red	lightcyan
ATG5	grey	grey
ATG7	brown	brown
ATG9A	lightcyan	lightcyan
ATG9B	yellow	yellow
ATIC	turquoise	turquoise
ATL1	grey	grey
ATL2	brown	brown
ATL3	black	black
ATM	blue	blue
ATMIN	blue	blue
ATN1	lightcyan	lightcyan
ATOH8	turquoise	turquoise
ATOX1	blue	blue
ATP10A	brown	brown
ATP10B	grey	grey
ATP10D	brown	brown
ATP11A	turquoise	turquoise
ATP11B	salmon	salmon
ATP11C	blue	blue
ATP13A1	red	lightcyan
ATP13A2	red	lightcyan
ATP13A3	salmon	salmon
ATP13A4	turquoise	turquoise
ATP1A1	turquoise	turquoise
ATP1A2	tan	tan
ATP1A3	grey	grey
ATP1B1	turquoise	turquoise
ATP1B2	tan	tan
ATP1B3	turquoise	turquoise
ATP23	purple	purple
ATP2A1	yellow	yellow
ATP2A2	salmon	salmon
ATP2A3	greenyellow	greenyellow
ATP2B1	salmon	salmon
ATP2B4	black	black
ATP2C1	salmon	salmon
ATP2C2	turquoise	turquoise
ATP6AP1	red	lightcyan
ATP6AP1L	green	green
ATP6AP2	grey	grey
ATP6V0A1	purple	purple
ATP6V0A2	salmon	salmon
ATP6V0A4	grey	grey
ATP6V0B	blue	blue
ATP6V0C	cyan	black
ATP6V0D1	brown	brown
ATP6V0D2	brown	brown
ATP6V0E1	purple	purple
ATP6V0E2	black	black
ATP6V1A	salmon	salmon
ATP6V1B1	brown	brown
ATP6V1B2	brown	brown
ATP6V1C1	blue	blue
ATP6V1C2	grey	grey
ATP6V1D	grey	grey
ATP6V1E1	blue	blue
ATP6V1E2	turquoise	turquoise
ATP6V1F	black	black
ATP6V1G1	purple	purple
ATP6V1H	grey	grey
ATP7A	blue	blue
ATP7B	grey	grey
ATP8A1	turquoise	turquoise
ATP8A2	grey	grey
ATP8B1	brown	brown
ATP8B2	blue	blue
ATP8B3	grey	grey
ATP8B4	brown	brown
ATP9A	blue	blue
ATP9B	blue	blue
ATPAF1	grey	grey
ATPAF2	grey	grey
ATR	salmon	salmon
ATRAID	blue	blue
ATRN	blue	blue
ATRX	blue	blue
ATXN1	purple	purple
ATXN10	grey	grey
ATXN1L	blue	blue
ATXN2	blue	blue
ATXN2L	red	lightcyan
ATXN3	green	green
ATXN7	blue	blue
ATXN7L1	blue	blue
ATXN7L2	yellow	yellow
ATXN7L3	lightcyan	lightcyan
ATXN7L3B	salmon	salmon
AUH	grey	grey
AUNIP	turquoise	turquoise
AUP1	black	black
AURKA	turquoise	turquoise
AURKAIP1	cyan	black
AURKB	turquoise	turquoise
AURKC	greenyellow	greenyellow
AUTS2	turquoise	turquoise
AVEN	turquoise	turquoise
AVIL	green	green
AVL9	turquoise	turquoise
AVPI1	grey	grey
AVPR1A	grey	grey
AXIN1	cyan	black
AXIN2	turquoise	turquoise
AXL	brown	brown
AZGP1	grey	grey
AZI2	salmon	salmon
AZIN1	turquoise	turquoise
AZIN2	yellow	yellow
B2M	brown	brown
